id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2997102	Arbetstid	Fre	0800	390	JAW							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997107	Arbetstid	Fre	0800	360	ABE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997111	Arbetstid	Fre	0800	240	LN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997163	Arbetstid	Fre	0800	325	CA							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997190	Arbetstid	Fre	0800	480	MS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997198	Arbetstid	Fre	0800	420	MC							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997214	Arbetstid	Fre	0800	425	MiB							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997218	Front door - Break Duty	Fre	0800	15	MC							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997233	Arbetstid	Fre	0800	315	CÖ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997245	Arbetstid	Fre	0800	340	OE,DM							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997256	Arbetstid	Fre	0800	330	DS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997282	Arbetstid	Fre	0800	480	EP							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997318	Arbetstid	Fre	0800	480	HJ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997330	Arbetstid	Fre	0800	420	HL							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997337	Arbetstid	Fre	0800	480	LS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997354	Arbetstid	Fre	0800	425	HR							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997370	Arbetstid	Fre	0800	375	JA							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997376	Arbetstid	Fre	0800	420	KB							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997388	Arbetstid	Fre	0800	370	JE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997441	Arbetstid	Fre	0800	390	MJA							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997462	Arbetstid	Fre	0800	405	KRS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997931	Arbetstid	Fre	0800	390	KBE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998527	Arbetstid	Fre	0800	270	FO							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998637	Arbetstid	Fre	0800	350	LiP							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998643	Arbetstid	Fre	0800	375	YO							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998656	Arbetstid	Fre	0800	375	AG							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998669	Arbetstid	Fre	0800	390	AHa							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998678	Arbetstid	Fre	0800	420	AN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998702	Arbetstid	Fre	0800	420	ARE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998734	Arbetstid	Fre	0800	300	AS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998748	Arbetstid	Fre	0800	300	ASN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998762	Arbetstid	Fre	0800	420	AW							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998776	Arbetstid	Fre	0800	420	AH							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
3094847	Arbetstid	Fre	0800	435	NE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998046	Arbetstid	Fre	0805	375	ZJ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997439	BL	Fre	0810	90	AS	9c:b	Bildsal	HT				0	34-41, 43, 45-50	
2997450	MU	Fre	0810	90	CÖ	9c:a	Music room	HT				0	34-41, 43, 45-50	
2997461	BL	Fre	0810	90	AS	9c:a	Bildsal	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2997472	MU	Fre	0810	90	CÖ	9c:b	Music room	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2997615	IDH	Fre	0810	50	JA	9d	302,Friskis el. annat alternativ					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2997830	HI	Fre	0810	60	AH	6c	105			34-41		0	34-41	
2997831	RE	Fre	0810	60	AH	6c	105			43, 45-50		0	43, 45-50	
2997832	SH	Fre	0810	60	AH	6c	105			3-7, 9-11		0	3-7, 9-11	
2997833	GE	Fre	0810	60	AH	6c	105			12-13, 15-17, 19, 21-23		0	12-13, 15-17, 19, 21-23	
2998722	Arbetstid	Fre	0810	310	ARS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997143	Support	Fre	0815	165	ANN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997308	Support	Fre	0815	60	FS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997435	Arbetstid	Fre	0815	455	NA							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997572	IDH	Fre	0815	50	YO	4b	Idrottshall					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2997869	No-Lab	Fre	0815	60	DS	9b:b	No-lab 1	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2997928	Support	Fre	0815	60	KBE							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998047	MA	Fre	0815	60	JAW	MA 8B	202					0	34-41, 43, 45, 48-50, 3-7, 9-13, 15-17, 19, 21-23	
2998049	Länken	Fre	0815	60	LN	Länken 8	107					1	34-41, 43, 45, 48-50, 3-7, 9-13, 15-17, 19, 21-23	
2998154	SVA	Fre	0815	60	LiP	SVA5:1	Group Room Junior School					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998214	SV	Fre	0815	60	HO	6a	104					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998221	HKK	Fre	0815	120	MG,AW	6d:a	Hemkunskap	HT				0	34-41, 43, 45-50	
2998227	HKK	Fre	0815	120	MG,AW	6d:b	Hemkunskap	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2998232	SV	Fre	0815	60	ASN	5a	209					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998252	SV	Fre	0815	60	ZC	5b	210					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998292	No-Lab	Fre	0815	60	ARE	6b:a	No-lab 2	HT				0	34-41, 43, 45-50	
2998297	No-Lab	Fre	0815	60	ARE	6b:b	No-lab 2	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2998339	EN	Fre	0815	60	CA	4a	304					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998340	No-Lab	Fre	0815	60	DS	9b:a	No-lab 1	HT				0	34-41, 43, 45-50	
2998380	SV	Fre	0815	60	JW	7C:SV	108					0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
